event_name,days_since_onsale,daily_tickets,tier,day_of_sale
CAV23_22_1023 - Cavaliers vs. Washington Wizards,-1,223,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,0,97,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,1,9,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,2,13,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,4,18,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,5,6,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,6,6,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,7,5,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,8,111,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,9,90,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,10,39,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,11,17,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,12,7,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,13,27,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,14,23,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,15,12,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,16,16,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,17,11,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,18,6,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,19,5,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,20,2,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,21,12,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,22,21,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,23,15,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,24,14,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,25,5,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,26,2,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,27,16,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,29,27,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,30,21,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,31,11,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,32,23,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,33,9,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,34,19,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,35,47,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,36,22,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,37,37,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,38,31,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,39,16,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,40,21,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,41,29,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,42,41,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,43,38,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,44,29,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,45,9,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,46,28,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,47,43,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,48,38,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,49,29,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,50,23,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,51,160,Tier B,Sunday
CAV23_22_1023 - Cavaliers vs. Washington Wizards,52,62,Tier B,Sunday
