event_name,days_since_onsale,daily_tickets,tier,day_of_week,giveaway,theme
CAV23_22_1023 - Cavaliers vs. Washington Wizards,-1.0,223,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,0.0,97,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,1.0,9,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,2.0,13,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,4.0,18,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,5.0,6,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,6.0,6,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,7.0,5,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,8.0,111,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,9.0,90,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,10.0,39,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,11.0,17,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,12.0,7,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,13.0,27,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
CAV23_22_1023 - Cavaliers vs. Washington Wizards,14.0,23,Tier B,Sunday,Let Em Know T-Shirt & Rally Towel,Home Opener
